,Html Form,Attachments,Flash content,Html iFrame,HTML content,URLs,Dots,External Resources,Javascript,Css,IPs in URLs,@ in URLs,Encoding,Phishy
0,False,0,False,False,True,23,4,0,0,0,False,False,quoted-printable,True
1,False,0,False,False,True,23,4,0,0,0,False,False,quoted-printable,True
2,False,0,False,False,True,3,6,0,0,0,False,False,quoted-printable,True
3,False,0,False,False,False,1,2,0,0,0,False,True,quoted-printable,True
4,False,0,False,False,True,2,3,0,0,0,False,False,quoted-printable,True
5,False,0,False,False,True,3,3,0,0,0,False,False,quoted-printable,True
6,False,0,False,False,False,1,2,0,0,0,False,False,quoted-printable,True
7,False,0,False,False,True,1,2,0,0,0,False,True,quoted-printable,True
8,False,0,False,False,True,2,2,0,0,0,False,True,quoted-printable,True
9,False,0,False,False,True,3,2,0,0,0,False,False,quoted-printable,True
10,False,0,False,False,True,3,2,0,0,0,False,True,quoted-printable,True
11,False,0,False,False,True,2,2,0,0,0,False,False,quoted-printable,True
12,False,0,False,False,True,3,2,0,0,0,False,False,quoted-printable,True
13,False,0,False,False,True,2,2,0,0,0,False,False,quoted-printable,True
14,False,0,False,False,True,2,2,0,0,0,False,False,quoted-printable,True
15,False,0,False,False,True,2,2,0,0,0,False,False,quoted-printable,True
16,False,0,False,False,False,0,0,0,0,0,False,False,quoted-printable,True
17,False,0,False,False,True,3,3,0,0,0,False,False,7bit,True
18,False,0,False,False,True,24,3,0,0,0,False,False,quoted-printable,True
19,False,1,False,False,True,0,0,0,0,0,False,False,quoted-printable,True
20,False,0,False,False,False,1,4,0,0,0,False,False,quoted-printable,True
21,False,0,False,False,False,3,3,0,0,0,False,False,None,True
22,False,0,False,False,True,0,0,0,0,0,False,False,base64,True
23,False,0,False,False,True,2,2,0,0,0,False,False,quoted-printable,True
24,False,0,False,False,True,1,2,0,0,0,False,False,quoted-printable,True
25,False,0,False,False,True,4,2,0,0,0,False,False,7bit,True
26,False,0,False,False,True,0,0,0,0,0,False,False,base64,True
27,False,0,False,False,True,2,3,0,0,0,False,False,quoted-printable,True
28,False,0,False,False,False,1,2,0,0,0,False,False,7bit,True
29,False,0,False,False,True,19,3,0,0,0,False,False,quoted-printable,True
30,False,0,False,False,True,19,3,0,0,0,False,False,quoted-printable,True
31,False,0,False,False,True,0,0,0,0,0,False,False,7bit,True
32,False,0,False,False,True,2,7,0,0,0,False,False,quoted-printable,True
33,False,0,False,False,True,1,3,0,0,0,False,False,quoted-printable,True
34,False,0,False,False,True,5,3,0,0,0,False,False,quoted-printable,True
35,False,0,False,False,True,3,4,0,0,0,False,False,7bit,True
36,False,0,False,False,True,2,0,0,0,0,False,False,quoted-printable,True
37,False,0,False,False,True,2,0,0,0,0,False,False,quoted-printable,True
38,False,0,False,False,True,2,4,0,0,0,False,False,quoted-printable,True
39,False,0,False,False,False,2,2,0,0,0,False,False,None,True
40,False,0,False,False,False,2,2,0,0,0,False,False,None,True
41,False,1,False,False,True,0,0,0,0,0,False,False,quoted-printable,True
42,False,0,False,False,True,5,0,0,0,0,False,False,quoted-printable,True
43,False,0,False,False,True,21,3,0,0,0,False,False,quoted-printable,True
44,False,0,False,False,True,1,3,0,0,0,False,False,quoted-printable,True
45,False,0,False,False,True,12,5,0,0,0,False,False,quoted-printable,True
46,False,0,False,False,True,21,3,0,0,0,False,False,quoted-printable,True
47,False,0,False,False,True,1,3,0,0,0,False,False,quoted-printable,True
48,False,0,False,False,True,12,5,0,0,0,False,False,quoted-printable,True
49,False,1,False,False,True,0,0,0,0,0,False,False,quoted-printable,True
50,False,1,False,False,True,0,0,0,0,0,False,False,quoted-printable,True
51,False,1,False,False,False,0,0,0,0,0,False,False,quoted-printable,True
52,False,0,False,False,False,0,0,0,0,0,False,False,None,True
53,False,1,False,False,False,0,0,0,0,0,False,False,quoted-printable,True
54,False,1,False,False,False,0,0,0,0,0,False,False,quoted-printable,True
55,False,1,False,False,False,0,0,0,0,0,False,False,quoted-printable,True
56,False,0,False,False,False,0,0,0,0,0,False,False,base64,True
57,False,0,False,False,True,1,2,0,0,0,False,False,quoted-printable,True
58,False,0,False,False,True,1,2,0,0,0,False,False,quoted-printable,True
59,False,0,False,False,True,1,3,0,0,0,False,False,quoted-printable,True
60,False,0,False,False,True,1,2,0,0,0,False,False,quoted-printable,True
61,False,1,False,False,False,0,0,0,0,0,False,False,quoted-printable,True
62,False,0,False,False,False,1,1,0,0,0,False,False,None,True
63,False,0,False,False,False,1,1,0,0,0,False,False,None,True
64,False,1,False,False,False,1,4,0,0,0,True,False,quoted-printable,True
65,False,0,False,False,False,0,0,0,0,0,False,False,base64,True
66,False,0,False,False,True,3,3,0,0,0,False,False,quoted-printable,True
67,False,1,False,False,False,0,0,0,0,0,False,False,quoted-printable,True
68,False,0,False,False,True,2,3,0,0,0,False,False,quoted-printable,True
69,False,0,False,False,False,0,0,0,0,0,False,False,base64,True
70,False,0,False,False,True,2,3,0,0,0,False,False,quoted-printable,True
71,False,0,False,False,True,0,0,0,0,0,False,False,quoted-printable,True
72,False,0,False,False,True,9,4,0,0,0,False,False,None,True
73,True,1,False,False,True,8,5,0,5,1,False,True,quoted-printable,True
74,False,0,False,False,True,7,3,0,0,0,False,False,quoted-printable,True
75,False,0,False,False,True,2,3,0,0,0,False,False,quoted-printable,True
76,False,1,False,False,True,1,2,0,0,0,False,False,quoted-printable,True
77,False,0,False,False,True,5,0,0,0,0,False,False,quoted-printable,True
78,False,1,False,False,False,0,0,0,0,0,False,False,quoted-printable,True
79,False,0,False,False,True,0,0,0,0,0,False,False,7bit,True
80,False,0,False,False,True,2,3,0,0,0,False,False,quoted-printable,True
81,True,1,False,False,True,178,23,0,21,4,False,False,quoted-printable,True
82,False,0,False,False,False,1,4,0,0,0,False,False,quoted-printable,True
83,False,0,False,False,True,11,3,0,0,0,False,False,None,True
84,False,0,False,False,True,5,4,0,0,0,False,False,quoted-printable,True
85,True,1,False,False,True,178,23,0,21,4,False,False,quoted-printable,True
86,False,0,False,False,True,16,3,0,0,0,False,False,quoted-printable,True
87,True,1,False,False,True,178,23,0,21,4,False,False,quoted-printable,True
88,False,0,False,False,True,23,6,0,0,0,False,False,quoted-printable,True
89,False,0,False,False,False,3,2,0,0,0,False,False,8bit,True
90,False,0,False,False,True,12,5,0,0,0,False,False,quoted-printable,True
91,True,1,False,False,True,178,23,0,21,4,False,False,quoted-printable,True
92,False,0,False,False,True,0,0,0,0,0,False,False,quoted-printable,True
93,False,0,False,False,False,1,4,0,0,0,False,False,quoted-printable,True
94,False,0,False,False,True,13,4,0,0,0,False,False,quoted-printable,True
95,False,0,False,False,True,1,3,0,0,0,False,False,quoted-printable,True
96,False,0,False,False,True,3,2,0,0,0,False,False,quoted-printable,True
